name_model,classifier,run,task,accuracy,sensitivity,specificity,precision,recall,f1,kappa
KNeighborsClassifier_15_7,KNeighborsClassifier,15,7,0.5909090909090909,0.5652173913043478,0.6190476190476191,0.6190476190476191,0.5652173913043478,0.5909090909090909,0.18350515463917538
KNeighborsClassifier_16_7,KNeighborsClassifier,16,7,0.6136363636363636,0.4782608695652174,0.7619047619047619,0.6875,0.4782608695652174,0.5641025641025642,0.23673469387755108
KNeighborsClassifier_17_7,KNeighborsClassifier,17,7,0.6136363636363636,0.391304347826087,0.8571428571428571,0.75,0.391304347826087,0.5142857142857143,0.24291497975708506
KNeighborsClassifier_18_7,KNeighborsClassifier,18,7,0.6590909090909091,0.6086956521739131,0.7142857142857143,0.7,0.6086956521739131,0.6511627906976744,0.32098765432098764
KNeighborsClassifier_19_7,KNeighborsClassifier,19,7,0.6590909090909091,0.7391304347826086,0.5714285714285714,0.6538461538461539,0.7391304347826086,0.693877551020408,0.31249999999999994
KNeighborsClassifier_20_7,KNeighborsClassifier,20,7,0.7045454545454546,0.6086956521739131,0.8095238095238095,0.7777777777777778,0.6086956521739131,0.6829268292682927,0.41393442622950827
LinearDiscriminantAnalysis_1_7,LinearDiscriminantAnalysis,1,7,0.6363636363636364,0.6521739130434783,0.6190476190476191,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.27122153209109734
LinearDiscriminantAnalysis_2_7,LinearDiscriminantAnalysis,2,7,0.6818181818181818,0.4782608695652174,0.9047619047619048,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.3752535496957402
LinearDiscriminantAnalysis_3_7,LinearDiscriminantAnalysis,3,7,0.5909090909090909,0.5217391304347826,0.6666666666666666,0.631578947368421,0.5217391304347826,0.5714285714285715,0.186858316221766
LinearDiscriminantAnalysis_4_7,LinearDiscriminantAnalysis,4,7,0.6590909090909091,0.6956521739130435,0.6190476190476191,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.31535269709543573
LinearDiscriminantAnalysis_5_7,LinearDiscriminantAnalysis,5,7,0.6136363636363636,0.4782608695652174,0.7619047619047619,0.6875,0.4782608695652174,0.5641025641025642,0.23673469387755108
LinearDiscriminantAnalysis_6_7,LinearDiscriminantAnalysis,6,7,0.6590909090909091,0.5217391304347826,0.8095238095238095,0.75,0.5217391304347826,0.6153846153846153,0.32653061224489793
LinearDiscriminantAnalysis_7_7,LinearDiscriminantAnalysis,7,7,0.6590909090909091,0.5652173913043478,0.7619047619047619,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.3237704918032786
LinearDiscriminantAnalysis_8_7,LinearDiscriminantAnalysis,8,7,0.5227272727272727,0.6086956521739131,0.42857142857142855,0.5384615384615384,0.6086956521739131,0.5714285714285715,0.037499999999999985
LinearDiscriminantAnalysis_9_7,LinearDiscriminantAnalysis,9,7,0.5909090909090909,0.5652173913043478,0.6190476190476191,0.6190476190476191,0.5652173913043478,0.5909090909090909,0.18350515463917538
LinearDiscriminantAnalysis_10_7,LinearDiscriminantAnalysis,10,7,0.6136363636363636,0.5217391304347826,0.7142857142857143,0.6666666666666666,0.5217391304347826,0.5853658536585366,0.2336065573770492
LinearDiscriminantAnalysis_11_7,LinearDiscriminantAnalysis,11,7,0.6818181818181818,0.6521739130434783,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.6818181818181819,0.3649484536082474
LinearDiscriminantAnalysis_12_7,LinearDiscriminantAnalysis,12,7,0.6363636363636364,0.6521739130434783,0.6190476190476191,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.27122153209109734
LinearDiscriminantAnalysis_13_7,LinearDiscriminantAnalysis,13,7,0.5681818181818182,0.43478260869565216,0.7142857142857143,0.625,0.43478260869565216,0.5128205128205128,0.14693877551020423
LinearDiscriminantAnalysis_14_7,LinearDiscriminantAnalysis,14,7,0.6590909090909091,0.6956521739130435,0.6190476190476191,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.31535269709543573
LinearDiscriminantAnalysis_15_7,LinearDiscriminantAnalysis,15,7,0.6363636363636364,0.5652173913043478,0.7142857142857143,0.6842105263157895,0.5652173913043478,0.6190476190476191,0.27720739219712526
LinearDiscriminantAnalysis_16_7,LinearDiscriminantAnalysis,16,7,0.7045454545454546,0.7391304347826086,0.6666666666666666,0.7083333333333334,0.7391304347826086,0.723404255319149,0.40663900414937776
LinearDiscriminantAnalysis_17_7,LinearDiscriminantAnalysis,17,7,0.75,0.6956521739130435,0.8095238095238095,0.8,0.6956521739130435,0.7441860465116279,0.5020576131687243
LinearDiscriminantAnalysis_18_7,LinearDiscriminantAnalysis,18,7,0.6363636363636364,0.43478260869565216,0.8571428571428571,0.7692307692307693,0.43478260869565216,0.5555555555555555,0.28600405679513174
LinearDiscriminantAnalysis_19_7,LinearDiscriminantAnalysis,19,7,0.6363636363636364,0.7391304347826086,0.5238095238095238,0.6296296296296297,0.7391304347826086,0.68,0.26513569937369524
LinearDiscriminantAnalysis_20_7,LinearDiscriminantAnalysis,20,7,0.6818181818181818,0.6521739130434783,0.7142857142857143,0.7142857142857143,0.6521739130434783,0.6818181818181819,0.3649484536082474
GaussianNB_1_7,GaussianNB,1,7,0.6818181818181818,0.4782608695652174,0.9047619047619048,0.8461538461538461,0.4782608695652174,0.6111111111111112,0.3752535496957402
GaussianNB_2_7,GaussianNB,2,7,0.6590909090909091,0.391304347826087,0.9523809523809523,0.9,0.391304347826087,0.5454545454545454,0.3346774193548386
GaussianNB_3_7,GaussianNB,3,7,0.6363636363636364,0.4782608695652174,0.8095238095238095,0.7333333333333333,0.4782608695652174,0.5789473684210527,0.2830957230142566
GaussianNB_4_7,GaussianNB,4,7,0.7272727272727273,0.5652173913043478,0.9047619047619048,0.8666666666666667,0.5652173913043478,0.6842105263157895,0.46232179226069253
GaussianNB_5_7,GaussianNB,5,7,0.5909090909090909,0.34782608695652173,0.8571428571428571,0.7272727272727273,0.34782608695652173,0.4705882352941176,0.20000000000000004
GaussianNB_6_7,GaussianNB,6,7,0.75,0.6086956521739131,0.9047619047619048,0.875,0.6086956521739131,0.717948717948718,0.5061224489795919
GaussianNB_7_7,GaussianNB,7,7,0.6363636363636364,0.391304347826087,0.9047619047619048,0.8181818181818182,0.391304347826087,0.5294117647058824,0.28888888888888886
GaussianNB_8_7,GaussianNB,8,7,0.6363636363636364,0.43478260869565216,0.8571428571428571,0.7692307692307693,0.43478260869565216,0.5555555555555555,0.28600405679513174
